date,city,temp,temp_apparent,temp_min,temp_max,pressure,humidity,wind_speed,cloudiness,weather
1984-03-06,Munich,0.5754166666666666,-2.8054166666666673,-5.4,5.54,1032.2916666666667,74.25,1.3379166666666669,57.541666666666664,Haze
1984-03-07,Munich,-0.49749999999999955,-3.9904166666666665,-8.0,4.5,1028.5833333333333,84.91666666666667,1.6704166666666669,68.16666666666667,Mist
1984-03-08,Munich,-1.37375,-5.372916666666666,-7.0,2.15,1027.6666666666667,84.58333333333333,2.212500000000001,81.45833333333333,Snow
1984-03-09,Munich,-3.5466666666666664,-7.470833333333334,-10.0,2.0,1029.4166666666667,79.16666666666667,1.6295833333333336,56.041666666666664,Mist
1984-03-10,Munich,-2.6662500000000002,-6.685416666666666,-8.0,1.0,1026.125,74.91666666666667,1.8000000000000005,65.0,Clouds
1984-03-11,Munich,-0.8475000000000001,-4.844166666666666,-7.0,4.0,1025.4583333333333,56.625,1.5083333333333337,61.791666666666664,Clouds
1984-03-12,Munich,-1.8937499999999996,-5.844583333333333,-10.0,4.0,1021.4166666666666,64.95833333333333,1.527916666666667,38.125,Clouds
1984-03-13,Munich,-1.4045833333333333,-5.035833333333334,-11.0,6.06,1020.0,75.70833333333333,1.3816666666666668,33.375,Mist
1984-03-14,Munich,-0.9729166666666664,-4.752083333333334,-9.0,5.9,1018.4166666666666,82.0,1.8695833333333338,40.625,Haze
1984-03-15,Munich,0.47666666666666674,-2.705,-6.0,8.0,1009.75,80.33333333333333,1.1816666666666666,29.083333333333332,Mist
1984-03-16,Munich,1.4933333333333338,-1.6225000000000005,-7.0,10.0,1007.7916666666666,73.125,1.0079166666666668,26.291666666666668,Mist
1984-03-17,Munich,1.73375,-1.7216666666666667,-6.0,10.23,1009.5833333333334,73.20833333333333,1.554166666666667,27.125,Mist
1984-03-18,Munich,1.4216666666666666,-2.4075,-6.0,7.49,1013.7916666666666,70.04166666666667,1.975833333333334,36.416666666666664,Haze
1984-03-19,Munich,0.11208333333333331,-5.1675,-5.0,5.0,1015.25,62.125,3.599999999999999,14.666666666666666,Clear
1984-03-20,Munich,0.023333333333333428,-4.105416666666666,-8.0,8.0,1011.4583333333334,60.75,1.9608333333333334,2.9166666666666665,Clear
1984-03-21,Munich,2.0075,-1.6883333333333332,-6.0,10.0,1009.5833333333334,67.66666666666667,1.7004166666666671,8.291666666666666,Clear
1984-03-22,Munich,2.2033333333333336,-1.8462499999999997,-5.0,11.0,1009.0416666666666,66.54166666666667,2.2312500000000006,0.20833333333333334,Clear
1984-03-23,Munich,2.32625,-1.235,-5.0,11.0,1009.875,67.95833333333333,1.541666666666667,2.125,Clear
1984-03-24,Munich,5.1375,1.152083333333333,-5.0,13.5,1006.625,55.875,2.165833333333334,33.041666666666664,Clouds
1984-03-25,Munich,4.239166666666667,0.7191666666666668,-1.0,8.6,1003.0833333333334,75.33333333333333,2.2504166666666676,60.041666666666664,Clouds
